,Listing,Earliest
AAME.OQ,1980-03-17,1999-08-03
AAPL.OQ,1980-12-12,2007-02-01
ABLT.PK,1980-03-19,1999-08-03
ACU.A,1981-05-22,1999-08-03
ADP.OQ,1981-05-26,2007-02-01
AEY.OQ,1994-04-04,1999-08-03
AGN.N,1997-09-17,2007-02-01
AILLP.PK,1994-04-06,1999-08-05
AIV.N,1994-07-22,2007-02-01
ALGN.OQ,2001-01-26,2007-02-01
ALL.N,1993-06-03,2007-02-01
ALOT.OQ,1981-10-01,1999-08-03
AMD.OQ,1981-05-22,2007-02-01
AMED.OQ,1994-08-17,1999-08-03
AMFC.PK,1996-04-01,1999-08-10
AMG.N,1997-11-21,2007-02-01
AMRB.OQ,1994-04-06,1999-08-06
ARE.N,1997-05-28,2007-02-01
ARNC.N,1981-05-22,2007-02-01
ARTW.OQ,1980-03-17,1999-08-04
ATNI.OQ,1997-03-24,1999-08-04
AVOA.PK,1994-04-11,1999-08-09
AXP.N,1981-05-22,2007-02-01
AXR.N,1981-05-22,1999-08-03
BAC.N,1981-05-22,2007-02-01
BBBK.PK,1994-05-10,1999-08-30
BDCO.PK,1990-04-10,1999-08-03
BFb.N,1981-05-22,2007-02-01
BHRB.PK,1994-04-13,1999-08-27
BHWB.PK,1994-04-13,1999-08-03
BKNG.OQ,1999-03-30,2007-02-01
BKUT.PK,1994-04-13,1999-12-14
BMRC.OQ,1994-04-28,1999-08-04
BMY.N,1981-05-22,2007-02-01
BNCC.PK,1995-07-13,2007-02-01
BOOM.OQ,1980-03-17,1999-08-03
BPCP.PK,1998-02-05,1999-08-09
BPFH.OQ,1994-02-14,1999-08-03
BRBW.PK,1994-05-12,1999-08-03
BSHI.PK,1999-06-09,1999-08-03
BSPA.PK,1998-09-23,1999-08-18
BSX.N,1992-05-19,2007-02-01
BYFC.OQ,1996-01-09,1999-08-06
CALM.OQ,1996-12-12,1999-08-03
CASS.OQ,1996-07-02,1999-08-04
CB.N,1993-03-25,2007-02-01
CBAN.OQ,1998-03-26,1999-08-03
CBNC.PK,1994-05-25,1999-08-09
CCFH.PK,1995-07-12,1999-08-11
CCNE.OQ,1994-04-04,1999-08-09
CDR.N,1986-12-17,1999-08-16
CFIN.PK,1993-02-19,1999-08-03
CFNB.PK,1987-04-08,1999-08-04
CFOK.PK,1998-04-28,1999-08-11
CHBH.PK,1997-05-09,1999-08-09
CIBN.PK,1995-02-07,1999-08-03
CINF.OQ,1980-03-17,2007-02-01
CIWV.PK,1994-04-19,1999-08-03
CLWT.OQ,1997-03-14,1999-08-03
CMTV.PK,1994-04-15,1999-08-04
CNC.N,2001-12-13,2007-02-01
CNP.N,1981-05-22,2007-02-01
CNTY.OQ,1993-11-10,1999-08-03
COP.N,1981-05-22,2007-02-01
CPFH.PK,1997-11-10,1999-08-10
CPTP.PK,1994-06-24,1999-08-03
CRAI.OQ,1998-04-24,1999-08-03
CRBO.PK,1995-02-07,1999-09-10
CSBB.PK,1997-05-07,1999-08-05
CSX.OQ,1981-05-22,2007-02-01
CTNR.PK,1994-05-17,1999-10-28
CTO.A,1992-09-01,1999-08-04
CVS.N,1981-05-22,2007-02-01
CZBS.PK,1999-04-23,1999-08-06
DAR.N,1997-09-12,1999-08-03
DBIN.PK,1994-08-11,1999-12-30
DE.N,1981-05-22,2007-02-01
DEST.OQ,1993-03-16,1999-08-03
DEWY.PK,1994-05-13,1999-08-09
DHR.N,1981-05-22,2007-02-01
DJCO.OQ,1986-06-11,1999-08-04
DLTR.OQ,1995-03-07,2007-02-01
DORM.OQ,1991-03-12,1999-08-03
DTE.N,1981-05-22,2007-02-01
DXPE.OQ,1996-12-27,1999-08-03
DYNR.PK,1996-07-08,1999-12-09
ECL.N,1986-12-10,2007-02-01
EGBN.OQ,1988-07-18,1999-08-13
EIX.N,1981-05-22,2007-02-01
ELMA.PK,1994-08-24,1999-12-16
ELSE.OQ,1981-06-09,1999-08-03
ELTK.OQ,1997-01-22,1999-08-03
EMN.N,1993-12-14,2007-02-01
EOG.N,1989-10-04,2007-02-01
ESBK.OQ,1986-06-18,1999-08-03
ESP.A,1981-05-22,1999-08-04
EW.N,2000-03-27,2007-02-01
EXSR.PK,1994-04-05,1999-08-04
FABP.PK,1994-05-03,1999-08-20
FAST.OQ,1987-08-20,2007-02-01
FBAK.PK,1994-04-04,1999-08-04
FBNC.OQ,1987-04-30,1999-08-03
FBSS.OQ,1996-12-05,1999-08-04
FCX.N,1995-07-10,2007-02-01
FETM.PK,1994-06-30,1999-08-04
FINN.PK,1994-04-07,1999-08-06
FL.N,1981-05-22,2007-02-01
FMBL.PK,1994-04-11,1999-08-05
FMBM.PK,1997-03-12,1999-08-16
FMCB.PK,1994-04-13,1999-08-20
FNRN.PK,1996-03-14,1999-08-04
FRD.A,1981-05-22,1999-08-04
FREVS.PK,1994-06-10,1999-08-16
FRPC.PK,1994-04-20,1999-10-11
FRT.N,1981-05-22,2007-02-01
FRTN.PK,1980-03-18,1999-08-05
FSCR.PK,1980-03-17,1999-08-12
GBR.A,1993-03-25,1999-08-09
GHM.N,1981-05-22,1999-08-05
GLBZ.OQ,1997-05-02,1999-08-06
GOVB.PK,1999-03-23,1999-08-03
HAFC.OQ,1994-04-06,1999-08-03
HALL.OQ,1992-08-04,1999-08-30
HBSI.PK,1994-07-05,1999-08-09
HCBC.PK,1997-12-10,1999-08-09
HFBA.PK,1994-04-06,1999-09-23
HFBC.OQ,1998-02-09,1999-08-03
HFBK.PK,1994-04-07,1999-08-03
HIHO.OQ,1996-12-11,1999-08-03
HLAN.PK,1995-11-14,1999-08-12
HMLN.PK,1994-07-05,1999-10-08
HNFSA.PK,1994-08-10,1999-08-13
HONT.PK,1994-04-15,1999-11-15
HOOB.PK,1994-05-11,1999-08-11
HWEN.PK,1996-07-02,1999-08-18
HWKN.OQ,1980-03-18,1999-08-03
IBAL.PK,1985-11-12,1999-08-03
IEHC.PK,1980-03-17,1999-08-03
IKNX.OQ,1994-04-05,1999-08-04
INTT.A,1997-06-17,1999-08-04
IOFB.PK,1994-07-26,1999-08-10
IOR.A,1987-05-20,1999-08-03
ITPC.PK,1996-08-15,2008-09-16
JCTCF.OQ,1996-04-12,1999-08-09
JFBC.PK,1997-02-18,1999-08-03
JKSM.PK,1994-09-01,2001-05-09
JUVF.PK,1994-04-26,1999-08-03
KAHL.PK,1999-03-16,1999-08-04
KEQU.OQ,1980-03-17,1999-08-03
KISB.PK,1994-12-16,1999-08-13
KLIB.PK,1996-11-21,1999-11-09
KSBI.PK,1998-09-16,1999-08-05
KTYB.PK,1995-07-13,1999-08-03
KYZN.PK,1995-08-24,1999-08-03
LARK.OQ,1994-03-28,1999-08-05
LOGN.PK,1995-06-14,1999-08-03
LSFG.PK,1996-10-08,1999-08-18
LYBC.PK,1995-07-10,2000-09-13
MAJJ.PK,1986-10-15,1999-08-03
MBKL.PK,1994-06-03,1999-08-03
MCEM.PK,1994-04-15,1999-08-04
MCHB.PK,1997-04-08,1999-08-11
MCPH.PK,1998-08-10,1999-08-27
MFBP.PK,1994-09-07,1999-08-10
MGPI.OQ,1988-10-21,1999-08-03
MLGF.PK,1996-02-28,1999-08-06
MNAT.PK,1996-11-15,2000-02-09
MNBP.PK,1996-05-10,2000-01-13
MNSB.PK,2005-09-06,2018-05-04
MPB.OQ,1997-12-04,1999-08-10
MRGO.PK,1993-03-18,1999-08-03
MRTI.PK,1985-10-22,1999-08-11
MSBC.PK,1999-03-16,1999-09-08
MYBF.PK,1995-12-01,1999-09-08
NACB.PK,1994-10-14,1999-09-28
NICK.OQ,1994-08-22,1999-08-04
NKSH.OQ,1994-04-13,1999-08-03
NSEC.OQ,1980-03-18,1999-08-09
NSYS.OQ,1993-06-11,1999-08-03
NUBC.PK,1998-02-04,1999-08-20
NUVR.PK,1997-04-25,1999-08-17
NXCN.PK,1997-06-26,1999-08-04
OART.PK,1980-03-20,1999-09-16
OBCI.OQ,1981-03-27,1999-08-03
OMEX.OQ,1996-01-05,1999-08-05
OPOF.OQ,1998-02-12,1999-08-06
PARF.PK,1980-03-26,1999-08-03
PB.N,1998-11-12,1999-08-03
PFIN.OQ,1983-06-24,1999-08-03
PFOH.PK,1994-04-04,1999-08-03
PGC.OQ,1998-02-20,1999-08-05
PNRG.OQ,1980-03-17,1999-08-05
POPE.OQ,1986-02-06,1999-08-05
PPIH.OQ,1989-12-15,1999-08-04
PPSF.PK,1997-04-28,1999-08-04
PRSI.PK,1994-04-11,1999-08-04
PSIX.PK,2007-07-11,2011-08-25
PSSR.PK,1980-03-17,1999-08-23
PTBS.PK,1998-05-21,1999-08-25
PUSH.PK,1995-06-12,1999-08-23
PW.A,1981-05-22,1999-08-05
QEPC.PK,1996-09-18,1999-08-03
QNBC.PK,1994-04-06,1999-08-03
RDGA.PK,1994-04-11,1999-08-26
RDVA.PK,1986-06-26,1999-08-10
RSKIA.PK,1994-04-04,1999-08-03
RSRV.PK,1994-06-03,1999-08-27
SAEX.OQ,2012-03-29,2013-08-30
SBBX.OQ,1998-02-20,1999-08-03
SCND.PK,1994-04-04,1999-08-23
SCPJ.PK,1980-03-17,1999-08-12
SCYT.PK,1997-07-02,1999-08-27
SEBC.PK,1996-11-19,1999-08-04
SHEN.OQ,1994-04-06,1999-08-03
SIMA.PK,1996-02-27,1999-08-04
SNFCA.OQ,1987-08-12,1999-08-05
SNLC.PK,1994-04-05,1999-09-14
SOBS.PK,1994-11-02,1999-08-20
SODI.PK,1995-04-04,1999-08-06
SOTK.PK,1994-04-04,1999-08-06
SPND.PK,1994-11-22,1999-08-10
SQCF.PK,1996-02-05,1999-08-31
SRNN.PK,1995-10-05,1999-08-05
SRYB.PK,1997-02-12,1999-08-06
SVT.A,1981-11-03,1999-08-09
SYNL.OQ,1980-03-17,1999-08-03
SZBI.PK,1995-02-14,1999-08-05
TAYD.OQ,1980-11-05,1999-08-03
TENG.PK,1995-06-26,1999-08-05
TNRK.PK,1994-04-07,1999-08-16
TPRP.PK,1994-05-05,1999-08-10
TWCF.PK,1998-12-23,1999-08-11
TYCB.PK,1997-12-04,2000-05-16
UBNC.PK,1998-11-11,1999-08-05
UBSH.OQ,1993-10-06,1999-08-04
UFMG.PK,1994-03-04,1999-08-03
VLGEA.OQ,1980-03-17,1999-08-04
VSBN.PK,1998-01-15,1999-08-30
VULC.PK,1980-03-17,1999-08-06
WAKE.PK,1996-04-03,1999-08-06
WAYS.PK,1992-08-20,1999-08-03
WDFN.PK,1997-07-03,1999-09-10
WEYS.OQ,1980-03-17,1999-08-05
WMSI.PK,1994-05-06,1999-08-03
YDVL.PK,1999-06-17,2000-03-17
YORW.OQ,1994-04-05,1999-08-04
YVR.OQ,1993-08-02,1999-08-03
